Recipe:
1-Pot, 3-Bean Chicken Stew Recipe - Allrecipes.com
0.3,ounce,vegetable oil
21.88,ounce,chicken breast
2.43,ounce,yellow onion
4.86,ounce,celery
4.86,ounce,carrot
14.59,ounce,chopped tomato
8.66,ounce,chicken broth
9.12,ounce,black bean
9.12,ounce,white kidney bean
9.12,ounce,red kidney bean
4.86,ounce,red wine
0.15,ounce,bay leaf
0.3,ounce,italian seasoning
4.86,ounce,fresh parsley
4.86,ounce,coriander

Recipe:
2-Bean Chili Recipe - Allrecipes.com
16.83,ounce,ground beef
4.21,ounce,red bell pepper
4.21,ounce,white onion
1.05,ounce,chili powder
0.04,ounce,pepper
25.25,ounce,vegetable juice
15.78,ounce,red kidney bean
15.78,ounce,white bean
4.21,ounce,sour cream
4.21,ounce,green onion
4.21,ounce,cheddar cheese
4.21,ounce,chopped tomato

Recipe:
2-Step Inside-Out Chicken Pot Pie Recipe - Allrecipes.com
21.4,ounce,chicken breast
14.38,ounce,cream of chicken
21.4,ounce,cauliflower
42.81,ounce,biscuit

Recipe:
2-Step Skillet Chicken Broccoli Divan Recipe - Allrecipes.com
0.84,ounce,butter
27.0,ounce,chicken breast
40.51,ounce,broccoli
18.14,ounce,cream of chicken
6.75,ounce,milk
6.75,ounce,cheddar cheese

Recipe:
30-Minute Minestrone Recipe - Allrecipes.com
10.34,ounce,carrot
10.34,ounce,cabbage
3.88,ounce,celery
5.17,ounce,white onion
2.58,ounce,garlic
0.43,ounce,vegetable oil
31.02,ounce,water
18.74,ounce,diced tomato
0.22,ounce,beef bouillon
10.34,ounce,spinach
6.89,ounce,fettuccine
0.05,ounce,pepper

Recipe:
30-Minute Minestrone Recipe - Allrecipes.com
10.29,ounce,carrot
10.29,ounce,cabbage
3.86,ounce,celery
5.15,ounce,white onion
2.57,ounce,garlic
0.43,ounce,vegetable oil
30.88,ounce,water
18.66,ounce,diced tomato
0.64,ounce,beef bouillon
10.29,ounce,spinach
6.86,ounce,fettuccine
0.05,ounce,pepper

Recipe:
6 Can Chili Recipe - Allrecipes.com
0.29,ounce,vegetable oil
13.93,ounce,ground turkey
12.63,ounce,roma tomato
13.93,ounce,chili bean
13.06,ounce,pinto bean
13.06,ounce,red kidney bean
24.38,ounce,refried bean
5.22,ounce,tomato paste
1.74,ounce,cheddar cheese
1.74,ounce,sour cream

Recipe:
8 Treasures Recipe - Allrecipes.com
0.25,ounce,vegetable oil
9.31,ounce,ground beef
9.31,ounce,shrimp
3.99,ounce,ham
7.98,ounce,mushroom
3.99,ounce,leek
35.9,ounce,water
11.97,ounce,tofu
7.35,ounce,cream-style corn
1.99,ounce,cornstarch
7.98,ounce,egg

Recipe:
A Simple Seafood Bisque Recipe - Allrecipes.com
17.2,ounce,evaporated milk
5.73,ounce,half-and-half
5.73,ounce,white wine
5.73,ounce,red pepper
0.48,ounce,butter
0.36,ounce,bay leaf
0.14,ounce,salt
0.14,ounce,chile sauce
22.93,ounce,oyster
18.63,ounce,clam
11.46,ounce,portabella cap
11.46,ounce,green onion

Recipe:
A Vegetable Stew - Tabakh Rohoo Recipe - Allrecipes.com
0.44,ounce,butter
14.16,ounce,lamb
0.07,ounce,allspice
0.04,ounce,cinnamon
0.02,ounce,clove
0.02,ounce,nutmeg
0.09,ounce,cardamom pod
7.08,ounce,white onion
3.54,ounce,potato
14.16,ounce,eggplant
14.16,ounce,zucchini
28.33,ounce,roma tomato
3.54,ounce,chile pepper
0.18,ounce,salt
0.44,ounce,tomato paste
1.77,ounce,water
10.62,ounce,garlic
1.33,ounce,mint

Recipe:
A-1 Chicken Soup Recipe - Allrecipes.com
0.95,ounce,vegetable oil
7.58,ounce,chicken leg
3.79,ounce,white onion
60.61,ounce,water
0.47,ounce,chicken bouillon
1.89,ounce,celery
11.36,ounce,carrot
1.89,ounce,garlic
0.09,ounce,salt and pepper
11.36,ounce,egg noodles

Recipe:
Aaahh! Potato Soup Recipe - Allrecipes.com
18.18,ounce,potato
12.5,ounce,potato mix
23.86,ounce,chicken broth
27.27,ounce,water
18.18,ounce,half-and-half

Recipe:
Abalos-Style Hamburger Soup (Picadillo Filipino) Recipe - Allrecipes.com
0.71,ounce,vegetable oil
5.67,ounce,white onion
11.33,ounce,garlic
5.67,ounce,roma tomato
22.66,ounce,ground beef
45.33,ounce,water
5.67,ounce,potato
1.42,ounce,beef bouillon
1.42,ounce,soy sauce
0.14,ounce,salt and pepper

Recipe:
ABC Vegetable Soup Recipe - Allrecipes.com
6.28,ounce,fettuccine
68.28,ounce,chicken broth
25.11,ounce,mixed vegetables
0.13,ounce,thyme
0.13,ounce,basil
0.07,ounce,pepper

Recipe:
Absolutely Ultimate Potato Soup Recipe - Allrecipes.com
15.06,ounce,bacon
3.76,ounce,celery
3.76,ounce,white onion
5.65,ounce,garlic
30.11,ounce,potato
30.11,ounce,chicken broth
1.41,ounce,butter
1.88,ounce,flour
7.53,ounce,half-and-half
0.16,ounce,tarragon
0.47,ounce,coriander
0.09,ounce,salt and pepper

Recipe:
