Recipe:
1-Pot, 3-Bean Chicken Stew Recipe - Allrecipes.com
1.0,tablespoon,vegetable oil
36.0,ounce,chicken breast
1.0,whole,yellow onion
1.0,cup,celery
1.0,cup,carrot
3.0,cup,chopped tomato
14.25,ounce,chicken broth
15.0,ounce,black bean
15.0,ounce,white kidney bean
15.0,ounce,red kidney bean
1.0,cup,red wine
1.0,leaf,bay leaf
1.0,tablespoon,italian seasoning
1.0,cup,fresh parsley
1.0,cup,coriander

Recipe:
2-Bean Chili Recipe - Allrecipes.com
1.0,pound,ground beef
1.0,whole,red bell pepper
1.0,whole,white onion
2.0,tablespoon,chili powder
0.25,teaspoon,pepper
3.0,cup,vegetable juice
15.0,ounce,red kidney bean
15.0,ounce,white bean
1.0,whole,sour cream
1.0,whole,green onion
1.0,whole,cheddar cheese
1.0,whole,chopped tomato

Recipe:
2-Step Inside-Out Chicken Pot Pie Recipe - Allrecipes.com
1.0,pound,chicken breast
10.75,ounce,cream of chicken
16.0,ounce,cauliflower
8.0,whole,biscuit

Recipe:
2-Step Skillet Chicken Broccoli Divan Recipe - Allrecipes.com
1.0,tablespoon,butter
1.0,pound,chicken breast
3.0,cup,broccoli
10.75,ounce,cream of chicken
0.5,cup,milk
0.5,cup,cheddar cheese

Recipe:
30-Minute Minestrone Recipe - Allrecipes.com
2.0,whole,carrot
1.0,cup,cabbage
1.0,rib,celery
1.0,whole,white onion
1.0,clove,garlic
2.0,teaspoon,vegetable oil
3.0,cup,water
14.5,ounce,diced tomato
1.0,cube,beef bouillon
1.0,cup,spinach
0.67,cup,fettuccine
0.25,teaspoon,pepper

Recipe:
30-Minute Minestrone Recipe - Allrecipes.com
2.0,whole,carrot
1.0,cup,cabbage
1.0,rib,celery
1.0,whole,white onion
1.0,clove,garlic
2.0,teaspoon,vegetable oil
3.0,cup,water
14.5,ounce,diced tomato
3.0,cube,beef bouillon
1.0,cup,spinach
0.67,cup,fettuccine
0.25,teaspoon,pepper

Recipe:
6 Can Chili Recipe - Allrecipes.com
2.0,teaspoon,vegetable oil
1.0,pound,ground turkey
14.5,ounce,roma tomato
16.0,ounce,chili bean
15.0,ounce,pinto bean
15.0,ounce,red kidney bean
28.0,ounce,refried bean
6.0,ounce,tomato paste
0.25,cup,cheddar cheese
0.25,cup,sour cream

Recipe:
8 Treasures Recipe - Allrecipes.com
1.0,tablespoon,vegetable oil
2.33,cup,ground beef
2.33,cup,shrimp
1.0,cup,ham
4.0,whole,mushroom
2.0,whole,leek
72.0,ounce,water
24.0,ounce,tofu
14.75,ounce,cream-style corn
0.5,cup,cornstarch
4.0,whole,egg

Recipe:
A Simple Seafood Bisque Recipe - Allrecipes.com
12.0,ounce,evaporated milk
0.5,cup,half-and-half
0.5,cup,white wine
1.0,whole,red pepper
2.0,teaspoon,butter
1.0,leaf,bay leaf
1.0,pinch,salt
1.0,dash,chile sauce
16.0,ounce,oyster
13.0,ounce,clam
1.0,cup,portabella cap
2.0,whole,green onion

Recipe:
A Vegetable Stew - Tabakh Rohoo Recipe - Allrecipes.com
1.0,tablespoon,butter
1.0,pound,lamb
0.5,teaspoon,allspice
0.25,teaspoon,cinnamon
0.13,teaspoon,clove
0.13,teaspoon,nutmeg
1.0,pinch,cardamom pod
2.0,whole,white onion
1.0,whole,potato
1.0,pound,eggplant
1.0,pound,zucchini
2.0,pound,roma tomato
1.0,whole,chile pepper
0.2,ounce,salt
1.0,tablespoon,tomato paste
0.25,cup,water
6.0,clove,garlic
3.0,tablespoon,mint

Recipe:
A-1 Chicken Soup Recipe - Allrecipes.com
2.0,tablespoon,vegetable oil
2.0,whole,chicken leg
0.5,cup,white onion
2.0,quart,water
3.0,cube,chicken bouillon
1.0,stalk,celery
3.0,whole,carrot
1.0,clove,garlic
1.0,dash,salt and pepper
12.0,ounce,egg noodles

Recipe:
Aaahh! Potato Soup Recipe - Allrecipes.com
2.0,whole,potato
5.5,ounce,potato mix
10.5,ounce,chicken broth
1.5,cup,water
1.0,cup,half-and-half

Recipe:
Abalos-Style Hamburger Soup (Picadillo Filipino) Recipe - Allrecipes.com
1.0,tablespoon,vegetable oil
1.0,whole,white onion
4.0,clove,garlic
1.0,whole,roma tomato
1.0,pound,ground beef
4.0,cup,water
1.0,whole,potato
2.0,tablespoon,beef bouillon
2.0,tablespoon,soy sauce
1.0,dash,salt and pepper

Recipe:
ABC Vegetable Soup Recipe - Allrecipes.com
0.5,cup,fettuccine
43.5,ounce,chicken broth
16.0,ounce,mixed vegetables
0.5,teaspoon,thyme
0.5,teaspoon,basil
0.25,teaspoon,pepper

Recipe:
Absolutely Ultimate Potato Soup Recipe - Allrecipes.com
1.0,pound,bacon
2.0,stalk,celery
1.0,whole,white onion
3.0,clove,garlic
8.0,whole,potato
4.0,cup,chicken broth
3.0,tablespoon,butter
0.25,cup,flour
1.0,cup,half-and-half
1.0,teaspoon,tarragon
3.0,teaspoon,coriander
1.0,dash,salt and pepper

Recipe:
Acorn Squash Soup Recipe - Allrecipes.com
1.0,whole,white onion
0.25,cup,celery
2.0,tablespoon,butter
2.0,tablespoon,flour
1.0,teaspoon,chicken bouillon
0.5,teaspoon,dill
0.25,teaspoon,curry powder
1.0,dash,cayenne pepper
2.0,cup,chicken broth
12.0,ounce,evaporated milk
3.0,cup,acorn squash
1.0,dash,salt and pepper
1.0,strip,vegetarian burger

Recipe:
Adas bil Hamod (Lebanese Lentil Lemon Soup) Recipe - Allrecipes.com
1.0,tablespoon,olive oil
0.5,cup,white onion
1.0,pound,lentil
3.0,clove,garlic
16.0,ounce,spinach
1.0,tablespoon,mint
1.0,dash,salt
0.75,cup,lemon juice

Recipe:
Adrienne's Tom Ka Gai Recipe - Allrecipes.com
2.0,teaspoon,peanut
2.0,clove,garlic
2.0,tablespoon,ginger
0.25,cup,lemon grass
2.0,teaspoon,red pepper
2.17,ounce,coriander
1.0,teaspoon,cumin
1.0,strip,chicken breast
1.0,whole,white onion
2.0,cup,bok choy
4.0,cup,water
10.0,ounce,coconut milk
0.25,cup,soy sauce

Recipe:
Afghan Tomato Soup (Aush Goshti) Recipe - Allrecipes.com
1.0,tablespoon,butter
1.0,whole,white onion
3.0,clove,garlic
0.5,pound,ground beef
6.0,ounce,tomato paste
32.0,ounce,vegetable juice
5.0,cup,water
15.0,ounce,garbanzo bean
16.0,ounce,fettuccine
0.5,teaspoon,salt
0.5,teaspoon,pepper
1.0,teaspoon,dry mustard
1.0,tablespoon,dill
1.0,tablespoon,coriander
1.0,teaspoon,chili paste
2.0,teaspoon,lemon juice

Recipe:
African Peanut Soup Recipe - Allrecipes.com
2.0,tablespoon,olive oil
2.0,whole,white onion
2.0,whole,red bell pepper
4.0,clove,garlic
28.0,ounce,crushed tomato
8.0,cup,vegetable broth
0.25,teaspoon,pepper
0.25,teaspoon,chili powder
0.67,cup,peanut butter
0.5,cup,brown rice

Recipe:
African Sweet Potato and Peanut Soup Recipe - Allrecipes.com
1.0,tablespoon,vegetable oil
1.0,whole,white onion
2.0,clove,garlic
2.0,teaspoon,ginger
1.5,teaspoon,cumin
8.25,ounce,coriander
0.5,teaspoon,cinnamon
1.0,pinch,clove
3.0,whole,roma tomato
1.5,pound,potato
1.0,whole,carrot
4.5,cup,water
1.0,teaspoon,salt
0.25,cup,roasted peanut
1.0,pinch,cayenne pepper
2.0,tablespoon,peanut butter

Recipe:
African Turkey Stew Recipe - Allrecipes.com
